                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   1.5090  37.6152  0.26470E+03  0.27503E+03  0.83537E-06  0.26902E+03  0.27503E+03  0.83537E-06  0.26902E+03
    5.0140   1.5090  38.4439  0.22018E+03  0.22748E+03  0.29932E-06  0.22250E+03  0.22748E+03  0.29932E-06  0.22250E+03
    5.0140   1.5090  39.2578  0.18307E+03  0.18812E+03  0.10584E-06  0.18395E+03  0.18812E+03  0.10584E-06  0.18395E+03
    5.0140   1.5090  40.0577  0.15206E+03  0.15543E+03  0.36918E-07  0.15194E+03  0.15543E+03  0.36918E-07  0.15194E+03
    5.0140   1.4190  21.7564  0.56996E+04  0.70330E+04  0.59852E+01  0.67326E+04  0.70330E+04  0.59852E+01  0.67326E+04
    5.0140   1.4190  23.2125  0.43990E+04  0.53357E+04  0.20234E+01  0.51257E+04  0.53357E+04  0.20234E+01  0.51257E+04
    5.0140   1.4190  24.5870  0.34563E+04  0.41279E+04  0.71258E+00  0.39763E+04  0.41279E+04  0.71258E+00  0.39763E+04
    5.0140   1.4190  25.8929  0.27548E+04  0.32433E+04  0.25852E+00  0.31314E+04  0.32433E+04  0.25852E+00  0.31314E+04
    5.0140   1.4190  27.1402  0.22205E+04  0.25796E+04  0.95809E-01  0.24955E+04  0.25796E+04  0.95809E-01  0.24955E+04
    5.0140   1.4190  28.3366  0.18055E+04  0.20716E+04  0.36036E-01  0.20074E+04  0.20716E+04  0.36036E-01  0.20074E+04
    5.0140   1.4190  29.4884  0.14777E+04  0.16758E+04  0.13684E-01  0.16262E+04  0.16758E+04  0.13684E-01  0.16262E+04
    5.0140   1.4190  30.6006  0.12151E+04  0.13631E+04  0.52240E-02  0.13244E+04  0.13631E+04  0.52240E-02  0.13244E+04
    5.0140   1.4190  31.6775  0.10025E+04  0.11134E+04  0.19981E-02  0.10829E+04  0.11134E+04  0.19981E-02  0.10829E+04
    5.0140   1.4190  32.7225  0.82911E+03  0.91231E+03  0.76355E-03  0.88804E+03  0.91231E+03  0.76355E-03  0.88804E+03
