 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   1.6940  32.0962   0.4167   2.5964  0.61227E+01  0.61220E+01  0.67914E-03  0.64381E+01  0.41261E-03  0.15388E+00  0.62838E+01  0.10000E+01
    5.0140   1.6940  32.8980   0.4372   2.7241  0.51680E+01  0.51674E+01  0.64873E-03  0.54021E+01  0.28541E-03  0.12454E+00  0.52773E+01  0.10000E+01
    5.0140   1.6940  33.6828   0.4577   2.8518  0.43786E+01  0.43780E+01  0.63035E-03  0.45477E+01  0.19979E-03  0.10124E+00  0.44462E+01  0.10000E+01
    5.0140   1.6940  34.4518   0.4782   2.9796  0.37209E+01  0.37203E+01  0.60690E-03  0.38360E+01  0.14101E-03  0.82769E-01  0.37531E+01  0.10000E+01
    5.0140   1.6940  35.2060   0.4987   3.1073  0.31209E+01  0.31203E+01  0.59319E-03  0.32047E+01  0.10019E-03  0.67802E-01  0.31368E+01  0.10000E+01
    5.0140   1.6940  35.9465   0.5192   3.2350  0.26270E+01  0.26265E+01  0.58224E-03  0.26866E+01  0.71007E-04  0.55859E-01  0.26306E+01  0.10000E+01
    5.0140   1.6940  36.6739   0.5397   3.3627  0.22229E+01  0.22224E+01  0.57228E-03  0.22619E+01  0.50733E-04  0.46212E-01  0.22156E+01  0.10000E+01
    5.0140   1.5990  21.2893   0.1707   1.0942  0.50816E+02  0.50815E+02  0.96262E-03  0.61205E+02  0.94235E-01  0.34634E+01  0.57648E+02  0.10000E+01
    5.0140   1.5990  22.5469   0.1912   1.2256  0.40341E+02  0.40340E+02  0.91347E-03  0.47749E+02  0.52834E-01  0.24503E+01  0.45246E+02  0.10000E+01
    5.0140   1.5990  23.7413   0.2117   1.3570  0.32470E+02  0.32469E+02  0.86132E-03  0.37844E+02  0.30689E-01  0.17738E+01  0.36039E+02  0.10000E+01
    5.0140   1.5990  24.8815   0.2322   1.4883  0.26421E+02  0.26420E+02  0.81204E-03  0.30376E+02  0.18332E-01  0.13149E+01  0.29043E+02  0.10000E+01
