                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   1.5990  25.9748  0.21685E+02  0.24620E+02  0.11206E-01  0.23623E+02  0.24620E+02  0.11206E-01  0.23623E+02
    5.0140   1.5990  27.0268  0.17919E+02  0.20116E+02  0.70022E-02  0.19359E+02  0.20116E+02  0.70022E-02  0.19359E+02
    5.0140   1.5990  28.0422  0.14888E+02  0.16541E+02  0.44557E-02  0.15959E+02  0.16541E+02  0.44557E-02  0.15959E+02
    5.0140   1.5990  29.0250  0.12423E+02  0.13674E+02  0.28871E-02  0.13221E+02  0.13674E+02  0.28871E-02  0.13221E+02
    5.0140   1.5990  29.9782  0.10406E+02  0.11354E+02  0.18966E-02  0.10999E+02  0.11354E+02  0.18966E-02  0.10999E+02
    5.0140   1.5990  30.9047  0.87492E+01  0.94672E+01  0.12604E-02  0.91865E+01  0.94672E+01  0.12604E-02  0.91865E+01
    5.0140   1.5990  31.8069  0.73904E+01  0.79279E+01  0.84469E-03  0.77056E+01  0.79279E+01  0.84469E-03  0.77056E+01
    5.0140   1.5990  32.6867  0.62523E+01  0.66496E+01  0.57130E-03  0.64715E+01  0.66496E+01  0.57130E-03  0.64715E+01
    5.0140   1.5990  33.5459  0.52481E+01  0.55500E+01  0.39027E-03  0.54068E+01  0.55500E+01  0.39027E-03  0.54068E+01
    5.0140   1.5990  34.3861  0.44207E+01  0.46479E+01  0.26951E-03  0.45322E+01  0.46479E+01  0.26951E-03  0.45322E+01
    5.0140   1.5990  35.2087  0.37370E+01  0.39049E+01  0.18824E-03  0.38111E+01  0.39049E+01  0.18824E-03  0.38111E+01
    5.0140   1.5990  36.0148  0.31731E+01  0.32917E+01  0.13274E-03  0.32152E+01  0.32917E+01  0.13274E-03  0.32152E+01
    5.0140   1.5990  36.8057  0.26703E+01  0.27554E+01  0.94364E-04  0.26929E+01  0.27554E+01  0.94364E-04  0.26929E+01
